q,n,r,bound_type,bound_value,references,year,best_flag,notes
2,1,1,lower,1,trivial; binary table 2_tables.pdf lower ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell 1 1
2,1,1,upper,1,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell 1 1
2,2,1,lower,2,trivial; binary table 2_tables.pdf lower ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 2 printed in table cell; raw cell 2 2
2,2,1,upper,2,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 2 printed in table cell; raw cell 2 2
2,2,2,lower,1,trivial; binary table 2_tables.pdf lower ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell 11
2,2,2,upper,1,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell 11
2,3,1,lower,2,trivial; binary table 2_tables.pdf lower ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell 2 1
2,3,1,upper,2,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell 2 1
2,3,2,lower,2,trivial; binary table 2_tables.pdf lower ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 3 printed in table cell; raw cell 23
2,3,2,upper,2,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 3 printed in table cell; raw cell 23
2,3,3,lower,1,trivial; binary table 2_tables.pdf lower ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell 11
2,3,3,upper,1,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell 11
2,4,1,lower,4,"Taussky-Todd, 1948; binary table 2_tables.pdf lower ref b",1948,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 2 printed in table cell; raw cell b 4 2
2,4,1,upper,4,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 2 printed in table cell; raw cell b 4 2
2,4,2,lower,2,trivial; binary table 2_tables.pdf lower ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 2 printed in table cell; raw cell 22
2,4,2,upper,2,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 2 printed in table cell; raw cell 22
2,4,3,lower,2,trivial; binary table 2_tables.pdf lower ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 4 printed in table cell; raw cell 24
2,4,3,upper,2,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 4 printed in table cell; raw cell 24
2,4,4,lower,1,trivial; binary table 2_tables.pdf lower ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell 1 1
2,4,4,upper,1,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell 1 1
2,5,1,lower,7,"Taussky-Todd, 1948; binary table 2_tables.pdf lower ref b",1948,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell b 7 1
2,5,1,upper,7,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell b 7 1
2,5,2,lower,2,"Taussky-Todd, 1948; binary table 2_tables.pdf lower ref b",1948,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell b 21
2,5,2,upper,2,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 1 printed in table cell; raw cell b 21
2,5,3,lower,2,trivial; binary table 2_tables.pdf lower ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 3 printed in table cell; raw cell 23
2,5,3,upper,2,trivial; binary table 2_tables.pdf upper ref unmarked,,TRUE,binary table 2_tables.pdf; exact value; classification/count superscript 3 printed in table cell; raw cell 23
