q,n,r,lower_bound,upper_bound,lower_bound_reference,upper_bound_reference
2,1,1,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,2,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,3,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,4,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,5,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,6,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,7,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,8,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,9,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,10,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,11,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,12,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,13,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,14,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,15,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,16,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,17,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,18,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,19,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,20,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,21,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,22,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,23,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,24,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,25,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,26,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,27,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,28,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,29,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,30,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,31,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,32,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,33,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,34,1,1,rule_sphere_covering_bound,rule_large_radius_upper
2,1,35,1,1,rule_sphere_covering_bound,rule_large_radius_upper
